raw_value,code,method,reviewed
Польша,PL,manual,true
СССР,SU,manual,true
Германия,DE,manual,true
Россия,RU,manual,true
РСФСР,RU,manual,true
ЧАССР,RU,manual,true
ЧИАССР,RU,manual,true
АССР немцев Поволжья,RU,manual,true
АССР НП,RU,manual,true
Западная обл,RU,manual,true
Уральская обл,RU,manual,true
Центрально-Черноземная обл,RU,manual,true
Западно-Сибирский кр,RU,manual,true
Дальне-Восточный кр,RU,manual,true
Нижне-Волжский кр,RU,manual,true
Азово-Черноморский кр,RU,manual,true
Средне-Волжский кр,RU,manual,true
Северо-Кавказский кр,RU,manual,true
Донского Войска обл,RU,manual,true
Донская обл,RU,manual,true
Китай,CN,manual,true
Финляндия,FI,manual,true
Турция,TR,manual,true
Венгрия,HU,manual,true
Австрия,AT,manual,true
Румыния,RO,manual,true
Япония,JP,manual,true
Иран,IR,manual,true
Варшавская губ.,PL,manual,true
Белостокская губ.,PL,manual,true
г. Варшава,PL,manual,true
Люблинская губ.,PL,manual,true
Варшавское в-во,PL,manual,true
Варшава,PL,manual,true
Краковская губ.,PL,manual,true
Варшавское воеводство,PL,manual,true
Келецкая губ.,PL,manual,true
Люблинское воеводство,PL,manual,true
Краковское воеводство,PL,manual,true
Белостокская обл.,PL,manual,true
г. Лодзь,PL,manual,true
