raw_value,code,method,reviewed
ЧО,RU-CHE,manual,true
Челябинская обл.,RU-CHE,manual,true
Башкирия,RU-BA,manual,true
Томская обл.,RU-TOM,manual,true
Московская обл.,RU-MOS,manual,true
Воронежская обл.,RU-VOR,manual,true
Саратовская обл.,RU-SAR,manual,true
Смоленская обл.,RU-SMO,manual,true
Томская губ.,RU-TOM,manual,true
Ульяновская обл.,RU-ULY,manual,true
Рязанская обл.,RU-RYA,manual,true
Ленинградская обл.,RU-LEN,manual,true
Орловская обл.,RU-ORL,manual,true
Самарская обл.,RU-SAM,manual,true
Омская обл.,RU-OMS,manual,true
Читинская обл.,RU-ZAB,manual,true
Украина,UA,manual,true
Калмыкия,RU-KL,manual,true
Курская обл.,RU-KRS,manual,true
Псковская обл.,RU-PSK,manual,true
Кировская обл.,RU-KIR,manual,true
Ставропольский кр.,RU-STA,manual,true
Астраханская губ.,RU-AST,manual,true
Ярославская обл.,RU-YAR,manual,true
Казахстан,KZ,manual,true
Пензенская обл.,RU-PNZ,manual,true
Мордовия,RU-MO,manual,true
Волынская губ.,UA,manual,true
Калужская обл.,RU-KLU,manual,true
Коми АССР,RU-KO,manual,true
Алма-Атинская обл.,KZ,manual,true
г. Ленинград,RU-SPE,manual,true
Красноярский кр.,RU-KYA,manual,true
Львовская губ.,UA,manual,true
Калининская обл.,RU-TVE,manual,true
г. Москва,RU-MOW,manual,true
Тамбовская обл.,RU-TAM,manual,true
Восточно-Казахстанская обл.,KZ,manual,true
Латвия,LV,manual,true
Белоруссия,BY,manual,true
Свердловская обл.,RU-SVE,manual,true
Иркутская обл.,RU-IRK,manual,true
Ивановская обл.,RU-IVA,manual,true
Верх. Балкария,RU-KB,manual,true
Чувашия,RU-CU,manual,true
Липецкая обл.,RU-LIP,manual,true
Аз.ССР,AZ,manual,true
Самарская губ.,RU-SAM,manual,true
Ростовская обл.,RU-ROS,manual,true
Казанская обл.,RU-TA,manual,true
Ровенская обл.,UA,manual,true
Пинская губ.,BY,manual,true
Киевская обл.,UA,manual,true
Киргизия,KG,manual,true
Удмуртия,RU-UD,manual,true
Горьковская обл.,RU-NIZ,manual,true
Москва,RU-MOW,manual,true
Марий Эл,RU-ME,manual,true
Тульская обл.,RU-TUL,manual,true
Литва,LT,manual,true
Кенделен,RU-KB,manual,true
Барановичская губ.,BY,manual,true
Куйбышевская обл.,RU-SAM,manual,true
Новосибирской обл.,RU-NVS,manual,true
Татарстан,RU-TA,manual,true
Южно-Казахстанская обл.,KZ,manual,true
Смоленская,RU-SMO,manual,true
Омская губ.,RU-OMS,manual,true
Тамбовская губ.,RU-TAM,manual,true
Саратовская губ.,RU-SAR,manual,true
Украинская ССР,UA,manual,true
Забайкальская обл.,RU-ZAB,manual,true
Калмыцкий р-н,RU-KL,manual,true
Барановичская обл.,BY,manual,true
Полтавская губ.,UA,manual,true
Сталинградская обл.,RU-VGG,manual,true
Одесская обл.,UA,manual,true
БМАССР,RU-BU,manual,true
УССР,UA,manual,true
Актюбинская обл.,KZ,manual,true
Черниговская губ.,UA,manual,true
Алтайский кр.,RU-ALT,manual,true
Тюменская обл.,RU-TYU,manual,true
Ленинградская (Новгородская) обл.,RU-NGR,manual,true
Винницкая обл.,UA,manual,true
Виленская губ.,LT,manual,true
Владимирская обл.,RU-VLA,manual,true
Карагандинская обл.,KZ,manual,true
Сталинская обл.,UA,manual,true
Рязанская губ.,RU-RYA,manual,true
Гродненская губ.,BY,manual,true
Карелия,RU-KR,manual,true
Кустанайская обл.,KZ,manual,true
Вятская губ.,RU-KIR,manual,true
Курская губ.,RU-KRS,manual,true
Оренбургская обл.,RU-ORE,manual,true
