raw_value,code,method,reviewed
русский,russian,manual,true
русская,russian,manual,true
немец,german,manual,true
немка,german,manual,true
украинец,ukrainian,manual,true
украинка,ukrainian,manual,true
поляк,polish,manual,true
полька,polish,manual,true
беларус,belarusian,manual,true
беларуска,belarusian,manual,true
белорус,belarusian,manual,true
белоруска,belarusian,manual,true
белорусс,belarusian,manual,true
еврей,jewish,manual,true
еврейка,jewish,manual,true
казах,kazakh,manual,true
казашка,kazakh,manual,true
татарин,tatar,manual,true
татарка,tatar,manual,true
татар,tatar,manual,true
балкарка,balkar,manual,true
балкарец,balkar,manual,true
грек,greek,manual,true
гречанка,greek,manual,true
латыш,latvian,manual,true
латышка,latvian,manual,true
китаец,chinese,manual,true
китаянка,chinese,manual,true
хань,chinese,manual,true
"китаец (хань, хани)",chinese,manual,true
эстонец,estonian,manual,true
эстонка,estonian,manual,true
чуваш,chuvash,manual,true
чувашка,chuvash,manual,true
башкир,bashkir,manual,true
башкирка,bashkir,manual,true
башкирин,bashkir,manual,true
финн,finnish,manual,true
финка,finnish,manual,true
фин,finnish,manual,true
финн (квен),finnish,manual,true
кореец,korean,manual,true
кореянка,korean,manual,true
бурят,buryat,manual,true
бурятка,buryat,manual,true
литовец,lithuanian,manual,true
литовка,lithuanian,manual,true
мордвин,mordvin,manual,true
мордовка,mordvin,manual,true
армянин,armenian,manual,true
армянка,armenian,manual,true
мариец,mari,manual,true
марийка,mari,manual,true
мари,mari,manual,true
карел,karelian,manual,true
карелка,karelian,manual,true
калмык,kalmyk,manual,true
калмычка,kalmyk,manual,true
чеченец,chechen,manual,true
чеченка,chechen,manual,true
кабардинец,kabardian,manual,true
кабардинка,kabardian,manual,true
грузин,georgian,manual,true
грузинка,georgian,manual,true
осетин,ossetian,manual,true
осетинка,ossetian,manual,true
удмурт,udmurt,manual,true
удмуртка,udmurt,manual,true
коми,komi,manual,true
коми-зырянин,komi,manual,true
зырянин,komi,manual,true
коми-пермяк,komi_permyak,manual,true
коми-пермячка,komi_permyak,manual,true
болгарин,bulgarian,manual,true
болгарка,bulgarian,manual,true
молдаванин,moldovan,manual,true
молдаванка,moldovan,manual,true
молдованин,moldovan,manual,true
алтаец,altai,manual,true
алтайка,altai,manual,true
узбек,uzbek,manual,true
узбечка,uzbek,manual,true
якут,yakut,manual,true
саха,yakut,manual,true
хакас,khakas,manual,true
хакаска,khakas,manual,true
азербайджанец,azerbaijani,manual,true
азербайджанка,azerbaijani,manual,true
тюрок (азербайджанец),azerbaijani,manual,true
тюрчанка (азербайджанка),azerbaijani,manual,true
венгр,hungarian,manual,true
венгерка,hungarian,manual,true
мадьяр,hungarian,manual,true
венгр (мадьяр),hungarian,manual,true
японец,japanese,manual,true
японка,japanese,manual,true
чех,czech,manual,true
чешка,czech,manual,true
ингуш,ingush,manual,true
ингушка,ingush,manual,true
австриец,austrian,manual,true
австрийка,austrian,manual,true
румын,romanian,manual,true
румынка,romanian,manual,true
уйгур,uyghur,manual,true
аварец,avar,manual,true
аварка,avar,manual,true
крымский татарин,crimean_tatar,manual,true
крымская татарка,crimean_tatar,manual,true
ассириец,assyrian,manual,true
ассирийка,assyrian,manual,true
ассириец (айсор),assyrian,manual,true
эвенк,evenk,manual,true
тунгус,evenk,manual,true
итальянец,italian,manual,true
итальянка,italian,manual,true
лезгин,lezgin,manual,true
кумык,kumyk,manual,true
кумычка,kumyk,manual,true
иранец,persian,manual,true
перс,persian,manual,true
фарс,persian,manual,true
перс (иранец),persian,manual,true
фарс (перс),persian,manual,true
