raw_value,code,method,reviewed
б/п,non_party,manual,true
беспартийный,non_party,manual,true
беспартийная,non_party,manual,true
член ВКП(б),vkpb,manual,true
член ВЛКСМ,vlksm,manual,true
бывший член ВКП(б),ex_vkpb,manual,true
член/канд. в члены ВКП(б),vkpb_candidate,manual,true
член РСДРП/б/,vkpb,manual,true
кандидат в члены ВКП(б),vkpb_candidate,manual,true
искл. из ВКП(б),ex_vkpb,manual,true
эсер,sr,manual,true
бывший член ВЛКСМ,ex_vlksm,manual,true
чл. ВКП(б).,vkpb,manual,true
б. член ВКП(б),ex_vkpb,manual,true
ВКП(б),vkpb,manual,true
искл. из ВКП(б) в связи с арестом,ex_vkpb,manual,true
анархист,anarchist,manual,true
член КПСС,vkpb,manual,true
чл. ВЛКСМ.,vlksm,manual,true
ранее член ВКП(б),ex_vkpb,manual,true
социал-демократ,social_democrat,manual,true
член ВКП(б) с 1919,vkpb,manual,true
троцкист,trotskyist,manual,true
бывший кандидат в члены ВКП(б),ex_vkpb,manual,true
баптист,baptist,manual,true
социалист-революционер,sr,manual,true
член ВКП(б) в 1919-1937 гг.,vkpb,manual,true
ВЛКСМ,vlksm,manual,true
исключен из ВКП(б),ex_vkpb,manual,true
член ВКП(б) с 1925,vkpb,manual,true
член ВКП(б) с 1918,vkpb,manual,true
член ВКП(б) до ареста,vkpb,manual,true
член ВКП(б) с 1919 г.,vkpb,manual,true
исключен из ВКП(б) в 1937 г.,ex_vkpb,manual,true
член ВКП(б) с 1920,vkpb,manual,true
искл. из КПСС,ex_vkpb,manual,true
член ВКП (б),vkpb,manual,true
член ВКП(б) с 1917,vkpb,manual,true
член РКП(б),vkpb,manual,true
член ВКП(б) с 1927,vkpb,manual,true
член ВКП(б) в 1925-1937,vkpb,manual,true
член ВКП(б) в 1919-1937,vkpb,manual,true
член ВКП(б) с 1920 г.,vkpb,manual,true
член ВКП(б) с 1926,vkpb,manual,true
член ВКП(б) в 1917-1937 гг.,vkpb,manual,true
член ВКП(б) в 1932-1937,vkpb,manual,true
член ВКП(б) с 1925 г.,vkpb,manual,true
член ВКП(б) в 1931-1937,vkpb,manual,true
член ВКП(б) с 1931,vkpb,manual,true
член ВКП(б) с 1928,vkpb,manual,true
член ВКП(б) с 1932,vkpb,manual,true
член КПЗБ,kpzb,manual,true
член ВКП(б) с 1930,vkpb,manual,true
член ВКП(б) в 1918-1937 гг.,vkpb,manual,true
член ВКП(б) в 1927-1937,vkpb,manual,true
член ВКП(б) с 1924,vkpb,manual,true
член ВКП(б) с 1928 г.,vkpb,manual,true
РСДРП(м),menshevik,manual,true
член ВКП(б) в 1928-1937,vkpb,manual,true
член ВКП(б) в 1925-1937 гг.,vkpb,manual,true
член ВКП(б) в 1930-1937,vkpb,manual,true
член ВКП(б) в 1931-1937 гг.,vkpb,manual,true
член СЕПГ,sed,manual,true
член ВКП(б) с 1927 г.,vkpb,manual,true
член ВКП(б) с 1918 г.,vkpb,manual,true
член ВКП(б) в 1932-1937 гг.,vkpb,manual,true
член ВКП(б) до 1937,vkpb,manual,true
член ВКП(б) в 1918-1937,vkpb,manual,true
член ВКП(б) с 1926 г.,vkpb,manual,true
чл. ВКП(б) с 1919 г.,vkpb,manual,true
член ВКП(б) в 1926-1937,vkpb,manual,true
исключен из ВКП(б) в связи с арестом,ex_vkpb,manual,true
кандидат в чл. ВКП(б).,vkpb_candidate,manual,true
член ВКП(б) в 1920-1937 гг.,vkpb,manual,true
член ВКП(б) с 1929,vkpb,manual,true
чл. КПСС,vkpb,manual,true
член ВКП(б) в 1926-1937 гг.,vkpb,manual,true
ВКП(б) с 1918,vkpb,manual,true
ВКП(б) с 1919,vkpb,manual,true
член ВКП(б) в 1929-1937,vkpb,manual,true
член партии эсеров,sr,manual,true
анархист-коммунист,anarchist,manual,true
член ВКП(б) с 1917 г.,vkpb,manual,true
ВКП(б) с 1931,vkpb,manual,true
католик,catholic,manual,true
ВКП(б) с 1925,vkpb,manual,true
меньшевик,menshevik,manual,true
член ВКП(б) в 1917-1937,vkpb,manual,true
член ВКП(б) в 1924-1937 гг.,vkpb,manual,true
член ВКП(б) в 1928-1937 гг.,vkpb,manual,true
член ВКП(б) с 1932 г.,vkpb,manual,true
ВКП(б) с 1930,vkpb,manual,true
"беспартийный, исключен из ВКП(б)",ex_vkpb,manual,true
член ВКП(б) в 1920-1937,vkpb,manual,true
член ВКП(б) в 1927-1937 гг.,vkpb,manual,true
член ВКП(б) в 1930-1937 гг.,vkpb,manual,true
ВКП(б) с 1917,vkpb,manual,true
член ВКП(б) в 1924-1937,vkpb,manual,true
член КП Германии,kpd,manual,true
ВКП(б) с 1920,vkpb,manual,true
член ВКП(б) в 1929-1937 гг.,vkpb,manual,true
чл. ВКП(б) с 1925 г.,vkpb,manual,true
член ВКП(б) с 1930 г.,vkpb,manual,true
член ВКП(б) с 1924 г.,vkpb,manual,true
ВКП(б) с 1924,vkpb,manual,true
ВКП(б) с 1927,vkpb,manual,true
левый социалист-революционер,sr,manual,true
чл. ВКП(б) с 1918 г.,vkpb,manual,true
член ВКП(б) с 1929 г.,vkpb,manual,true
член ВКП(б) с 1931 г.,vkpb,manual,true
бывший чл. ВКП(б),ex_vkpb,manual,true
ВЛКСМ с 1931,vlksm,manual,true
искл. из ВКП(б) в 1937,ex_vkpb,manual,true
ВКП(б) с 1928,vkpb,manual,true
