raw_value,code,method,reviewed
Челябинская обл.,RU-CHE,manual,true
Башкирия,RU-BA,manual,true
Саратовская обл.,RU-SAR,manual,true
Томская обл.,RU-TOM,manual,true
УВД Томской обл.,RU-TOM,manual,true
Красноярский край,RU-KYA,manual,true
Казахстан,KZ,manual,true
Чечня,RU-CE,manual,true
"База данных Красноярского общества ""Мемориал""",RU-KYA,manual,true
Коми,RU-KO,manual,true
МВД Чеченской Республики,RU-CE,manual,true
Книга памяти Республики Коми,RU-KO,manual,true
Москва и Московская обл.,RU-MOW,manual,true
Татарстан,RU-TA,manual,true
Краснодарский край,RU-KDA,manual,true
МВД Республики Казахстан,KZ,manual,true
Белоруссия,BY,manual,true
Мемориал (Белоруссия),BY,manual,true
Свердловская обл.,RU-SVE,manual,true
Архангельская обл.,RU-ARK,manual,true
УВД Саратовской обл.,RU-SAR,manual,true
Омская обл.,RU-OMS,manual,true
Кабардино-Балкария,RU-KB,manual,true
Забайкальский край,RU-ZAB,manual,true
Польские спецпереселенцы в Архангельской обл. (База данных),RU-ARK,manual,true
МВД Кабардино-Балкарии,RU-KB,manual,true
Пермский край,RU-PER,manual,true
ГУВД Краснодарского края,RU-KDA,manual,true
МВД Республики Башкирия,RU-BA,manual,true
Санкт-Петербург и Ленинградская обл.,RU-SPE,manual,true
Самарская обл.,RU-SAM,manual,true
Книга памяти Самарской обл.,RU-SAM,manual,true
Новгородская обл.,RU-NGR,manual,true
Книга памяти Республики Татарстан,RU-TA,manual,true
МВД Республики Татарстан,RU-TA,manual,true
Книга памяти Новгородской обл.,RU-NGR,manual,true
Украина,UA,manual,true
Ленинградский мартиролог,RU-SPE,manual,true
Книга памяти Республики Башкортостан,RU-BA,manual,true
Ставропольский край,RU-STA,manual,true
Алтайский край,RU-ALT,manual,true
Книга памяти Алтайского края,RU-ALT,manual,true
Ростовская обл.,RU-ROS,manual,true
Кировская обл.,RU-KIR,manual,true
Высланные в Казахстан,KZ,manual,true
Книга памяти Восточного Забайкалья,RU-ZAB,manual,true
Воронежская обл.,RU-VOR,manual,true
ГУВД Ростовской обл.,RU-ROS,manual,true
Высланные в Челябинскую область,RU-CHE,manual,true
Смоленская обл.,RU-SMO,manual,true
Книга памяти Псковской обл.,RU-PSK,manual,true
Псковская обл.,RU-PSK,manual,true
Нижегородская обл.,RU-NIZ,manual,true
Мурманская обл.,RU-MUR,manual,true
Оренбургская обл.,RU-ORE,manual,true
"Немцы-трудармейцы, ИТЛ Бакалстрой",RU-CHE,manual,true
Объединенный государственный архив Челябинской области,RU-CHE,manual,true
Книга памяти Пермской обл.,RU-PER,manual,true
Дагестан,RU-DA,manual,true
